zip_path,key,E_input_Eh,E_finished_first_Eh,E_finished_first_opt_Eh,E_finished_last_Eh,E_finished_last_opt_Eh,E_ts_final_geometry_Eh,DFT_barrier_from_first_kcalmol,DFT_barrier_from_first_opt_kcalmol,DFT_barrier_from_last_kcalmol,DFT_barrier_from_last_opt_kcalmol,irc_file,IRC_Left_kJmol,IRC_TS_kJmol,IRC_Right_kJmol,IRC_Left_kcalmol,IRC_TS_kcalmol,IRC_Right_kcalmol,error
10.1021/acs.organomet.6b00677/om6b00677_si_003/48_TMS_TS3Me_E_H_G_D_-1_2.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/48_TMS_TS3Me_E_H_G_D_-1_2,-1394.4779524601,-1394.4049668508,-1394.4539912529,-1394.4724548473,-1394.4338718101,-1394.3991377574,3.6578,34.4211,46.0072,21.7959,48_TMS_TS3Me_E_H_G_D-irc.out,4.91,139.61,0.00,1.1735,33.3676,0.0000,
10.1021/acs.organomet.6b00677/om6b00677_si_003/102_TS_invert_outer_sphere_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/102_TS_invert_outer_sphere_E_H_G_D_0_1,-1394.4843584550,-1394.4279172042,-1394.4404331963,-1394.4290552368,-1394.4356109398,-1394.4222348677,3.5657,11.4196,4.2798,8.3936,102_TS_invert_outer_sphere_E_H_G_D-irc.out,1.76,61.22,0.00,0.4207,14.6319,0.0000,
10.1021/acs.organomet.6b00677/om6b00677_si_003/67_TBDMS_TS1Me_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/67_TBDMS_TS1Me_E_H_G_D_0_1,-1512.4425665031,-1512.3641032767,-1512.3821530708,-1512.4048017830,-1512.4213120115,-1512.3567619090,4.6068,15.9332,30.1455,40.5058,67_TBDMS_TS1Me_E_H_G_D-irc.out,141.20,212.14,0.00,33.7476,50.7027,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/29_0_2.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/29_0_2,-1553.3321500680,-1553.3144887393,-1553.3138436117,-1553.3144964772,-1553.3137949266,-1553.3111279356,2.1089,1.7041,2.1138,1.6736,29-irc.out,0.00,3.49,0.01,0.0000,0.8341,0.0024,
10.1021/acsomega.1c01292/ao1c01292_si_001/29_-1_1.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/29_-1_1,-1553.5641894829,-1553.5432379600,-1553.5440582741,-1553.5427376215,-1553.5439649986,-1553.5384694061,2.9923,3.5071,2.6783,3.4485,29-irc.out,0.00,20.70,0.00,0.0000,4.9474,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/28_-1_1.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/28_-1_1,-1553.5673980872,-1553.5438089540,-1553.5438782841,-1553.5438605726,-1553.5438353937,-1553.5390511241,2.9856,3.0291,3.0180,3.0022,28-irc.out,0.02,21.41,0.00,0.0048,5.1171,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/28_0_2.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/28_0_2,-1553.3352337291,-1553.3162696151,-1553.3142850842,-1553.3162715540,-1553.3142063655,-1553.3133380902,1.8396,0.5942,1.8408,0.5449,28-irc.out,0.00,4.58,0.00,0.0000,1.0946,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_0_2,-111.2324164654,-111.2559400598,-111.2571015656,-111.2241754334,-111.2245852080,-111.1971193673,36.9105,37.6394,16.9779,17.2351,29-irc.out,0.00,178.99,169.23,0.0000,42.7796,40.4469,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/22_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/22_0_2,-111.2956045060,-111.2570570144,-111.2570936667,-111.2570544313,-111.2570923932,-111.2542332820,1.7719,1.7949,1.7703,1.7941,22-irc.out,0.00,12.17,0.00,0.0000,2.9087,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/30_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/30_0_2,-111.2578414809,-111.2264437918,-111.2249825749,-111.2559113743,-111.2570274587,-111.2282760814,-1.1498,-2.0667,17.3414,18.0418,30-irc.out,0.00,191.89,50.48,0.0000,45.8628,12.0650,
