basis_set,n_reactions,n_converged,convergence_rate
"6-311++G(2d, p)",80,0,0.0000
"LANL2DZ(Ni,Pd,Zn)",80,43,0.5375
"SDD(Ni,Pd,Zn)",80,43,0.5375
"TZVP, 6-31++G, QZVP",79,1,0.0127
cc-pwCVTZ-DK,79,33,0.4177
"6-311+G(d,p)(SDD)",79,0,0.0000
Lanl2dz(Rh)-6-31G(d),79,31,0.3924
"SDD(Rh)-6-311+G(d,p)",79,31,0.3924
"6-31G**, 6-311+G**",78,0,0.0000
DZVP on Pd and TZVP on all other atoms,77,73,0.9481
def2-TZVP/C,77,0,0.0000
"SDD, 6-31G(d), Def2-TZVP",77,0,0.0000
Stuttgart effective core potentials,77,28,0.3636
BS-III,77,32,0.4156
modified cc-pVTZ,77,32,0.4156
BS-L,77,32,0.4156
BS-IV,77,32,0.4156
"6-311++G(2df, 2pd)",77,0,0.0000
LANL2DZ for Rh,76,35,0.4605
"CEP-31G(d), CEP-31G(d)+",76,60,0.7895
"6-31G**(C, H)",75,29,0.3867
"6-311+G*(N, O)",75,29,0.3867
"SDD, 6-31G**",75,0,0.0000
"6-311++G(3df,2pd)",74,0,0.0000
"Def2-SVP, Def2-TZVP",74,18,0.2432
"DGDZVP, def2-TZVP",74,0,0.0000
6-31(d),74,0,0.0000
"BSII, BSI",74,5,0.0676
B2,74,10,0.1351
Stuttgart-Dresden basis set-RECP,73,49,0.6712
Dunning cc-pVDZ,73,49,0.6712
pVDZ,73,25,0.3425
small-core effective core potential (60 MWB),72,34,0.4722
[8s7p6d2f,72,12,0.1667
SDB-cc-pVDZ,72,22,0.3056
SDB-cc-pVTZ,71,21,0.2958
Stuttgart triple zeta basis set (SDD),71,39,0.5493
LANL2DZ(Ta),71,15,0.2113
6311+LAN,71,20,0.2817
3-21+G,71,20,0.2817
[6s5p3d2f1g] contracted valence basis set with the Stuttgart-Dresden-Bonn energy-consistent pseudopotential (SDD),70,13,0.1857
SDD for Au and Sb,70,63,0.9000
RECP,70,0,0.0000
"6-311+G(d,p), lanl2tzf",69,0,0.0000
6s5p3d2f] ECP60MWB,68,41,0.6029
6-31G(d) for other atoms,68,45,0.6618
"6-31G(d), SDD",68,2,0.0294
"LANL2DZ, cc-pVTZ",67,20,0.2985
Stuttgart effective core potential,67,34,0.5075
"cc-pVDZ-(PP), cc-pVTZ-(PP)",67,52,0.7761
"LACVP, 6-31G, LACV3P++**",67,0,0.0000
SDD (Co),66,3,0.0455
"6-311G(2d,d,p)",66,50,0.7576
Huzinaga-Dunning double-z,66,48,0.7273
"LACVP*, LACV3P**+",65,0,0.0000
SDD for Fe and cc-pvtz for other atoms,65,0,0.0000
cc-pwCVDZ-PP,65,43,0.6615
TZP-DKH(-dfg),65,3,0.0462
LanL2dz:6-31G(d),64,27,0.4219
