basis_set,n_reactions,n_converged,convergence_rate
"6-311G(d,p), LANL2DZ",3,3,1.0000
BS(I),3,2,0.6667
BS(II),3,2,0.6667
6311+Gdp,3,1,0.3333
PAW pseudopotentials,3,0,0.0000
"6-31G(d); SDD-6-311++G(d,p)",3,0,0.0000
Def2SVP; Def2TZVP,3,2,0.6667
"6-31G*, 6-31+G*, 6-31G**, 6-311G*",3,0,0.0000
SRSC-ECP,3,3,1.0000
"6-311G** for C, H, and P",3,0,0.0000
3-21+G*,3,0,0.0000
"6-311+G(d,p), TZVP",3,0,0.0000
"6-311+g(2df,p)",3,0,0.0000
6-31 G(d),3,1,0.3333
QZ3P-1D,3,0,0.0000
QZ3P,3,0,0.0000
aug-TZP,3,0,0.0000
"SDD:6-311++G(d,p)",3,0,0.0000
6s1p contracted to 4s1p pattern {3111/1},3,0,0.0000
10s5p1d contracted to 6s2p1d pattern {511111/41/1},3,0,0.0000
ZORA-TZVP,3,1,0.3333
"Zr SDD/ F, N, C, H TZVP, Zr def2-QZVP",3,3,1.0000
Lanl2dz(Cu),3,2,0.6667
VTZP,3,0,0.0000
def2-TVP,3,0,0.0000
"LANL08d, 6-31+G(d,p)",2,0,0.0000
Def-TZVP,2,0,0.0000
Def-SVP,2,0,0.0000
"Lanl2dz, 6-31G(d)",2,0,0.0000
ZORA/TZP,2,0,0.0000
SARC,2,1,0.5000
6-311+G(3d2f),2,0,0.0000
"aug-cc-pVDZ, aug-cc-pVTZ",2,0,0.0000
631A,2,0,0.0000
631WH,2,0,0.0000
"6-311G(3df,2p)",2,0,0.0000
Def2TZVPS,2,0,0.0000
def-QZVPP,2,0,0.0000
Lanl2dz+f(1.350),2,0,0.0000
"6-311++G(3df,3pd), SDD",2,0,0.0000
SDD for Pd atom,2,0,0.0000
6-31+G(d)-LANL2DZ,2,0,0.0000
"6-311++G(d,p)-SDD",2,0,0.0000
high basis set,2,0,0.0000
low basis set,2,0,0.0000
SDD for Zr,2,2,1.0000
(aug)-cc-pVDZ,2,0,0.0000
def2-svp; def2-TZVPPD,2,0,0.0000
TZV2P,2,0,0.0000
LANL08d,2,0,0.0000
6-311G**-SDD,2,1,0.5000
[6s5p3d],2,0,0.0000
"6-311++G(2d,3p)",2,0,0.0000
ZORA-def2-SVP/C,2,0,0.0000
def2-SVP/J,2,0,0.0000
ECP60MWB,2,0,0.0000
14s11p6d/10s8p3d for Fe,2,2,1.0000
9s5p/4s2p for C and O,2,2,1.0000
Huzinaga-Dunning DZ for H,2,2,1.0000
"6-31g**(C, H)",2,1,0.5000
"6-311+g*(S, N, F)",2,1,0.5000
"TZ2P, QZ4P, 6-31G**",2,0,0.0000
D95v(d),2,2,1.0000
larger,2,0,0.0000
small,2,0,0.0000
"6-311G(2df,2p)",2,0,0.0000
SDD for Cu,2,0,0.0000
Stuttgart relativistic small core ECP and (8s7p6d)/[6s5p3d],2,0,0.0000
"ma-TZVPP, 6-311+G(d,p)",2,0,0.0000
ccpVTZ(-f),2,0,0.0000
standard LANL2DZ (L2),2,1,0.5000
large DNP numeric basis set,2,1,0.5000
6-311G(3df),2,0,0.0000
6-311G(3d),2,0,0.0000
aug-cc-pvtz-pp,2,1,0.5000
jun-cc-pVDZ,2,1,0.5000
ANO-RCC-MB,2,0,0.0000
Ahlrichs' SVP,2,0,0.0000
SDD (8s7p6d2f1g)/[6s5p3d2f1g],2,0,0.0000
6-31G*; 6-311+G**,2,0,0.0000
6-31+,2,0,0.0000
"6-31+G; 6-311++G(d,p)",2,0,0.0000
stuttgart_rsc_1997_ecp,2,0,0.0000
"6-31++G(2df,2p)",2,0,0.0000
"triple-ζ + 2 polarization, relativistically optimized",2,0,0.0000
"6-31G(d,p), Stuttgart/Dresden ECP (SDD)",2,1,0.5000
LanL2DZ + p-diff. + d-pol.,2,0,0.0000
DGauss,2,2,1.0000
"6-31G(d,p), Stuttgart Effective Core Potentials with f-polarization function",2,0,0.0000
"6-311G(d,p), def2-QZVPP",2,0,0.0000
"6-311++g(2d,p)",2,0,0.0000
DZVP-MOLOPT-GTH,2,0,0.0000
Wachters-Hay,2,0,0.0000
"18s,10p,6d/[6s,3p,3d]",2,1,0.5000
"18s,13p,7d,3f,2g,1h/[8s,7p,5d,3f,2g,1h]",2,1,0.5000
"18s,13p,6d,2f,1g/[8s,7p,4d,2f,1g]",2,1,0.5000
ECP60MWB + 2f,2,1,0.5000
Stuttgart-Dresden effective core potential for S,1,0,0.0000
adapted basis set for Sm,1,0,0.0000
"6-311++G(2df, 2p)",1,0,0.0000
valence triple-zeta Gaussian basis sets,1,0,0.0000
plane wave basis sets,1,0,0.0000
cc-pVnZ,1,0,0.0000
triple-ζ plus polarization,1,0,0.0000
X2C-TZVPPall-2c,1,1,1.0000
X2C-SVPall-2c,1,1,1.0000
X2C-QZVPall-2c,1,1,1.0000
"6-31G(d',p')",1,0,0.0000
MWB60,1,0,0.0000
"6-311++G(d,p), SDD",1,0,0.0000
triple-ζ Slater-type orbital TZ2P,1,0,0.0000
jul-cc-pVTZ,1,0,0.0000
def-SV(P) for all other atoms,1,0,0.0000
def2-SVPD for sulfur,1,0,0.0000
10-mdf 6s5p3d for zinc,1,0,0.0000
Dyall-VTZ,1,0,0.0000
uIGLO-II,1,0,0.0000
uIGLO-III,1,0,0.0000
ECP46MWB-AVTZ,1,0,0.0000
f-augmented SDD(ECP),1,0,0.0000
"def2-TZVP[Br,Si,K,B]",1,0,0.0000
"def2-SVP[N,C,H]",1,0,0.0000
LANL2DZ with an additional f-polarization,1,0,0.0000
"double-ς for C, N, O, H",1,0,0.0000
uncontracted triple-ς for Cu,1,0,0.0000
ECP10MDF (8s7p6d)/[6s5p3d],1,0,0.0000
ECP28MDF_VQZ,1,0,0.0000
def2-TZVP(-f)-ZORA,1,0,0.0000
Stuttgart/Dresden 1997 SDD,1,1,1.0000
aug-cc-PVDZ-pp,1,0,0.0000
6-31(G),1,1,1.0000
SARC/J decontracted def2/J auxiliary basis,1,1,1.0000
N07D,1,0,0.0000
def2-TZVDP,1,0,0.0000
Ahlrichs-TZV,1,0,0.0000
"TZP, TZ2P",1,0,0.0000
Lanl2dz+f (1.350),1,0,0.0000
"6-311++G(d,2p)",1,0,0.0000
6-31G(d′),1,0,0.0000
LanL2DZ with f-polarization for Ru,1,1,1.0000
LanL2DZ with d-polarization for Cl,1,1,1.0000
4-31G(d) for remaining elements,1,1,1.0000
SDD effective potentials,1,0,0.0000
LAL2DZ for Ru,1,0,0.0000
"6-311G* for C, H, and P",1,0,0.0000
6-311G*+,1,0,0.0000
6-31G*+,1,0,0.0000
ECP60MWB (8s7p6d2f1g)/[6s5p3d2f1g],1,0,0.0000
"6-311++G(2d,2p), cc-pVTZ",1,0,0.0000
SDD (for I),1,0,0.0000
cc-pVTZ (for the other atoms),1,0,0.0000
SBK,1,0,0.0000
triplet-zeta,1,0,0.0000
Def2-SD,1,0,0.0000
"BS(2,1)",1,0,0.0000
"6-31G(d,p); SDD",1,0,0.0000
all-electron triple-basis set,1,1,1.0000
"6-31+G(d,p)(SDD for Pd)",1,0,0.0000
"2df,2pd",1,0,0.0000
midi!,1,1,1.0000
ECP80MWB,1,0,0.0000
"def2-TZV/P, def2-TZVP, aug-cc-pVTZ-Jmod, def2-TZVP(-f)",1,0,0.0000
AhlrichsVTZ+P; Stuttgart RSC 1997 for Pd,1,0,0.0000
ZORA-def2-TZVP(-f),1,0,0.0000
triple-z quality basis set with polarization functions,1,0,0.0000
"6-311++G(2d,p), 6-311++G(3df,3pd)",1,0,0.0000
III (other elements),1,0,0.0000
IV (Mn),1,0,0.0000
