functional,element_class,n_reactions,n_converged,convergence_rate
"M06, PBE0, PBE0-dDsC",main_group_only,5,0,0.0000
r²SCAN,no_xyz_data,5,0,0.0000
SCS-MP2,4d_TM,5,0,0.0000
τHCTHh,4d_TM,5,0,0.0000
"B3LYP, GD3BJ",3d_TM,5,0,0.0000
M05,3d_TM,5,3,0.6000
revDSD-PBEP86-D4,main_group_only,5,5,1.0000
uM06L-D3,main_group_only,5,0,0.0000
!ωB97XD,4d_TM,5,0,0.0000
PW6B95(-D3),4d_TM,5,0,0.0000
"BP86, PBE",4d_TM,5,0,0.0000
r2SCAN-3c,5d_TM,5,4,0.8000
mPW2PLYP-D4,5d_TM,5,4,0.8000
B3LYP-D4,5d_TM,5,4,0.8000
RPBE,3d_TM,4,0,0.0000
"LDA VWN, GGA Becke Perdew",3d_TM,4,4,1.0000
"BLYP-D3BJ, CAMY-B3LYP",main_group_only,4,0,0.0000
"B3PW91, M062X, PBE0",no_xyz_data,4,0,0.0000
TD-PBE0-D3(BJ),main_group_only,4,0,0.0000
LC-ωPBE,4d_TM,4,1,0.2500
B3LYP+D3,no_xyz_data,4,0,0.0000
PBEsol,5d_TM,4,0,0.0000
TPSSh+DFT-D3,3d_TM,4,0,0.0000
GD3,3d_TM,4,0,0.0000
PW6B95-D3(BJ),4d_TM,4,0,0.0000
wB97,no_xyz_data,4,0,0.0000
"B3LYP, TPSSh",no_xyz_data,4,0,0.0000
revPBE-D3,4d_TM,4,0,0.0000
rCAM-B3LYP,main_group_only,4,0,0.0000
(U)M062X,main_group_only,4,0,0.0000
(U)B3LYP-D3(BJ),main_group_only,4,0,0.0000
GFN2-xTB,main_group_only,4,0,0.0000
ωB97X-3c3,main_group_only,4,0,0.0000
ZORA-BP86-D3(BJ),no_xyz_data,4,0,0.0000
"M062X, M06L, M06",5d_TM,4,4,1.0000
PBE0,lanthanides,4,2,0.5000
BPW91*,no_xyz_data,4,0,0.0000
"hybrid gradient-corrected exchange functional of Lee, Yang, and Parr",main_group_only,4,0,0.0000
M06-L,actinides,4,4,1.0000
w-B2PLYP,no_xyz_data,4,0,0.0000
CAM-B3LYP-D3(BJ),5d_TM,4,0,0.0000
"B97-3c, M06",main_group_only,4,0,0.0000
"B3LYP, PBE",main_group_only,4,0,0.0000
Becke exchange functional,3d_TM,4,0,0.0000
"B3LYP, TDB3LYP",main_group_only,4,0,0.0000
"PBE0, PBE50",no_xyz_data,4,0,0.0000
"B3LYP, B3PW91, PBE0, B3P86",3d_TM,4,0,0.0000
Grimme dispersion (GD-3),3d_TM,4,1,0.2500
"r2SCAN, PWPB95-D3BJ",main_group_only,4,0,0.0000
wb97XD2,main_group_only,4,0,0.0000
B3LYP; PBE0,main_group_only,4,3,0.7500
Grimme's GD3,3d_TM,4,0,0.0000
RB97D,main_group_only,4,0,0.0000
ωB97D,main_group_only,4,0,0.0000
"TPSS, PW6B95-D3",main_group_only,4,0,0.0000
Vosko-Wilk-Nusair,no_xyz_data,4,0,0.0000
CAMB3LYP-D3(BJ),main_group_only,4,0,0.0000
BP86+D3(BJ),main_group_only,3,0,0.0000
GGA-BP86-D3,3d_TM,3,2,0.6667
M06-2X,actinides,3,3,1.0000
"TPSSh, M06-2X",3d_TM,3,2,0.6667
UM062X,5d_TM,3,0,0.0000
CAM-B3LYP-GDBJ,main_group_only,3,0,0.0000
PBES6,main_group_only,3,3,1.0000
UB+HF-LYP,main_group_only,3,1,0.3333
M06L-D3,5d_TM,3,0,0.0000
ωB97M-V,5d_TM,3,0,0.0000
UB3LYP-D3,5d_TM,3,0,0.0000
TPSS-D4,3d_TM,3,0,0.0000
"B3PW91, M06-2X, B3LYP-D3BJ",3d_TM,3,3,1.0000
"B3LYP, M06-solv-SP",5d_TM,3,1,0.3333
UTPSSTPSS,no_xyz_data,3,0,0.0000
"local density approximation of Vosko, Wilk, and Nusair",3d_TM,3,2,0.6667
nonlocal correlation corrections by Perdew,3d_TM,3,2,0.6667
nonlocal exchange correction by Becke,3d_TM,3,2,0.6667
M06-2X-D3zero,main_group_only,3,0,0.0000
"B3LYP, M062X",main_group_only,3,0,0.0000
"PBE0, B3LYP, M06L, wB97X-D3BJ",no_xyz_data,3,0,0.0000
B3LYP; M06,main_group_only,3,0,0.0000
"B3LYP, BPW91",3d_TM,3,2,0.6667
"B3LYP, BHandHLYP, BLYP, CAM-B3LYP, B3P86, M06, M06-2X",main_group_only,3,0,0.0000
UM06L,3d_TM,3,0,0.0000
UMPWB1K,main_group_only,3,0,0.0000
MPW1K,5d_TM,3,0,0.0000
"B3LYP, UB3LYP, UBP86",no_xyz_data,3,0,0.0000
mPW2PLYP,main_group_only,3,0,0.0000
B3LYP‑D3(BJ),main_group_only,3,0,0.0000
D3 dispersion,main_group_only,3,0,0.0000
OPBE,4d_TM,3,0,0.0000
CAM-B3LYP-3D,main_group_only,3,0,0.0000
PBE,lanthanides,3,0,0.0000
ωB97X-D3(BJ),main_group_only,3,0,0.0000
"PBE0, PBE0-GD3BJ",main_group_only,3,3,1.0000
!B97M-V,no_xyz_data,3,0,0.0000
"PBE0-D3BJ, BP86-D3BJ",main_group_only,3,0,0.0000
TD-B3LYP-D3,main_group_only,3,0,0.0000
"B3LYP, ωB97X",5d_TM,3,0,0.0000
"M06, PBE0-dDsC",main_group_only,3,1,0.3333
B3LYP-D3(BJ),lanthanides,3,0,0.0000
M05-2X-D3,main_group_only,3,0,0.0000
(U)M062x,main_group_only,3,0,0.0000
PW6B95-D3,lanthanides,3,0,0.0000
BJ-damped DFT-D3,lanthanides,3,0,0.0000
Grimme D3,lanthanides,3,2,0.6667
ROBHandHLYP,main_group_only,2,0,0.0000
ROCAM-B3LYP,main_group_only,2,0,0.0000
"PBE0, M052X, B3PW91",no_xyz_data,2,0,0.0000
Becke,no_xyz_data,2,0,0.0000
Perdew,no_xyz_data,2,0,0.0000
B3PW91-GD3,no_xyz_data,2,0,0.0000
PWPB95-D3,4d_TM,2,0,0.0000
"B3PW91, M06",4d_TM,2,0,0.0000
"BH-LYP, PW6B95-D3",main_group_only,2,0,0.0000
BHLYP,3d_TM,2,0,0.0000
B3LYP-GD3(BJ),4d_TM,2,0,0.0000
PBE0-GD3(BJ),main_group_only,2,0,0.0000
xDH-PBE0,main_group_only,2,0,0.0000
"B3LYP, M06L",main_group_only,2,0,0.0000
M15L; B2PLYPD3,main_group_only,2,0,0.0000
uPBE0,3d_TM,2,0,0.0000
uO3LYP,3d_TM,2,0,0.0000
roPBE0,3d_TM,2,0,0.0000
M062X2-3,main_group_only,2,2,1.0000
WB97D,main_group_only,2,0,0.0000
"B1B95, B3LYP",3d_TM,2,0,0.0000
r2scan-c3,no_xyz_data,2,0,0.0000
BHandHLYP,5d_TM,2,0,0.0000
HCTH407,5d_TM,2,0,0.0000
BPW91,no_xyz_data,2,2,1.0000
BVWN,no_xyz_data,2,2,1.0000
BHandH,no_xyz_data,2,2,1.0000
M05-2X/6-311++G**,no_xyz_data,2,2,1.0000
M11/6-311++G**,no_xyz_data,2,2,1.0000
BHandH/6-311++G**,no_xyz_data,2,2,1.0000
M06L/6-311++G**,no_xyz_data,2,2,1.0000
ωb97X-D/6-311++G**,no_xyz_data,2,2,1.0000
PBE/6-311++G**,no_xyz_data,2,2,1.0000
PBE0/6-311++G**,no_xyz_data,2,2,1.0000
"BP86, SAOP",main_group_only,2,0,0.0000
pw6b95-d4,main_group_only,2,0,0.0000
ωB97-D3,5d_TM,2,2,1.0000
PBE0,actinides,2,0,0.0000
"B3LYP-D3(BJ), M06-2X-D3",main_group_only,2,0,0.0000
VWN-BP,main_group_only,2,1,0.5000
BOP,main_group_only,2,1,0.5000
ωB97X-D2,main_group_only,2,0,0.0000
M06-2X2,main_group_only,2,0,0.0000
UBHandHLYP,no_xyz_data,2,0,0.0000
SCRF-B97-2,main_group_only,2,0,0.0000
ublyp,main_group_only,2,0,0.0000
GIAO-B3LYP,main_group_only,2,1,0.5000
B3LYP(D3BJ),main_group_only,2,1,0.5000
DLPNO-CCSD(T),5d_TM,2,2,1.0000
BP86-D3(BJ),5d_TM,2,0,0.0000
PBEsol-D3,5d_TM,2,0,0.0000
BHandH,5d_TM,2,1,0.5000
D4-BJ,main_group_only,2,0,0.0000
"B3LYP, UB3LYP",main_group_only,2,0,0.0000
UM052X,main_group_only,2,0,0.0000
RB-LYP,main_group_only,2,0,0.0000
UBLYP,main_group_only,2,0,0.0000
D3zero,main_group_only,2,0,0.0000
"B3LYP-D3, M062X",no_xyz_data,2,0,0.0000
M061-D3,main_group_only,2,0,0.0000
DFTD3,main_group_only,2,0,0.0000
PW6B95-D3,4d_TM,2,0,0.0000
M06-2X-D3(0),4d_TM,2,0,0.0000
PBEh-3c,3d_TM,1,0,0.0000
B97X-D,5d_TM,1,0,0.0000
BP86-D3BJ,4d_TM,1,0,0.0000
TPSSh-D3BJ,4d_TM,1,0,0.0000
B3LYP+D,main_group_only,1,0,0.0000
"B3LYP, BHLYP",main_group_only,1,0,0.0000
"BP86, OLYP",4d_TM,1,0,0.0000
"PBE, BPBE",main_group_only,1,0,0.0000
UM062X,no_xyz_data,1,0,0.0000
rM06,4d_TM,1,0,0.0000
"VWN, Becke, Perdew",no_xyz_data,1,0,0.0000
ωPBE,5d_TM,1,0,0.0000
PBEH-3c,5d_TM,1,0,0.0000
Becke-Perdew (BP86),3d_TM,1,0,0.0000
BH-LYP,3d_TM,1,0,0.0000
"M06-L, B2-PLYP-D, B97-D, BP86, B3PW91",4d_TM,1,0,0.0000
"PW91, OLYP",3d_TM,1,1,1.0000
CBS-QB3,no_xyz_data,1,0,0.0000
(U)ωB97XD,no_xyz_data,1,0,0.0000
revPBE,5d_TM,1,0,0.0000
DLPNO-SCS-MP2,5d_TM,1,0,0.0000
B3LYP(D3),main_group_only,1,0,0.0000
B3LYP-D3(zero),3d_TM,1,0,0.0000
"B3LYP, M06X2",3d_TM,1,0,0.0000
"B3LYP, B3LYP-D3, B97D",main_group_only,1,0,0.0000
r2SCAN-D3(BJ),main_group_only,1,0,0.0000
"BLYP, B3LYP*, BHandHLYP",no_xyz_data,1,0,0.0000
Becke exchange correction,main_group_only,1,0,0.0000
Perdew correlation correction,main_group_only,1,0,0.0000
ωB97X-D13,4d_TM,1,0,0.0000
DSD-PBEP86-D3BJ,main_group_only,1,1,1.0000
PBE-D3MBJ,4d_TM,1,0,0.0000
APFD,3d_TM,1,0,0.0000
B3LYP/G,3d_TM,1,0,0.0000
WB97,3d_TM,1,0,0.0000
revTPSS,3d_TM,1,0,0.0000
ωB97xD-D3,5d_TM,1,1,1.0000
Grimme's D3BJ,3d_TM,1,0,0.0000
ZORA-PBE-D3(BJ),4d_TM,1,0,0.0000
G96PBE,4d_TM,1,0,0.0000
O3LYP,4d_TM,1,0,0.0000
"VWN, Becke's exchange correction, Perdew's correlation correction, OLYP",no_xyz_data,1,0,0.0000
PBE03,3d_TM,1,0,0.0000
RB3PW91,main_group_only,1,0,0.0000
MO6-2X,no_xyz_data,1,0,0.0000
B3LYP*(15% HF),main_group_only,1,0,0.0000
M062-2x,main_group_only,1,0,0.0000
BPBE-D3,no_xyz_data,1,0,0.0000
BPBE,no_xyz_data,1,0,0.0000
"M06-2X, B3LYP",main_group_only,1,0,0.0000
VWN,4d_TM,1,0,0.0000
M06-2x6,4d_TM,1,1,1.0000
S12g,3d_TM,1,0,0.0000
rCAM-B3LYP,no_xyz_data,1,0,0.0000
TPSSTPSS,no_xyz_data,1,0,0.0000
"B3LYP, PBE0, BP86",3d_TM,1,0,0.0000
B3P86,5d_TM,1,0,0.0000
BP86+D3(BJ),3d_TM,1,0,0.0000
