functional,element_class,n_reactions,n_converged,convergence_rate
TPSS-D2,main_group_only,141,0,0.0000
DFT-D3,5d_TM,140,0,0.0000
ωB97X-V,main_group_only,140,12,0.0857
PBEPBE,main_group_only,139,55,0.3957
TPSSTPSS,4d_TM,138,56,0.4058
wB97X+50%D,main_group_only,135,3,0.0222
MPW1K,main_group_only,135,0,0.0000
B3PW91-D3,4d_TM,133,0,0.0000
"B3PW91, M06",main_group_only,130,41,0.3154
M062,no_xyz_data,130,127,0.9769
RM062X,main_group_only,130,16,0.1231
"BP86, B3LYP, BLYP, PBE",3d_TM,129,0,0.0000
"PBE, PBE0",main_group_only,128,12,0.0938
B97-2,3d_TM,127,0,0.0000
MPWLYP1M,3d_TM,127,0,0.0000
X3LYP,3d_TM,127,0,0.0000
RM06,4d_TM,126,48,0.3810
B97-D,5d_TM,126,3,0.0238
M06L-D3,3d_TM,126,111,0.8810
RB3LYP-D3,4d_TM,126,84,0.6667
uB3LYP-D3,main_group_only,125,0,0.0000
SCS-MP2,main_group_only,124,0,0.0000
HF-LYP,3d_TM,123,58,0.4715
mPW1PW91,3d_TM,121,111,0.9174
D3(BJ),main_group_only,121,18,0.1488
PBE-D3(BJ),main_group_only,120,7,0.0583
BPW91,3d_TM,120,2,0.0167
mPW1PW91,no_xyz_data,120,0,0.0000
mPW1k,3d_TM,119,111,0.9328
B2PLYP,5d_TM,118,38,0.3220
B3PW91-D3,5d_TM,117,56,0.4786
PW6B95-D3BJ,main_group_only,114,86,0.7544
ωB97X,4d_TM,114,103,0.9035
B97-D3,3d_TM,114,40,0.3509
CAM-B3LYP-D3(BJ),main_group_only,114,7,0.0614
B3LYP-D2,main_group_only,114,57,0.5000
BLYP-D3(BJ),4d_TM,114,0,0.0000
PW91,main_group_only,113,36,0.3186
B3LYP-D2,3d_TM,113,2,0.0177
revDSD-PBEP86,main_group_only,112,28,0.2500
PBE0-D3BJ,5d_TM,112,58,0.5179
PBE-D2,main_group_only,111,10,0.0901
MP4(SDTQ),main_group_only,111,10,0.0901
RI-DSD-BLYP,main_group_only,111,23,0.2072
TPSS-D3BJ,main_group_only,110,0,0.0000
B3PW91-D3(BJ),main_group_only,110,0,0.0000
MPW1K,4d_TM,109,11,0.1009
B3PW91-D3(BJ),5d_TM,109,50,0.4587
M05,main_group_only,109,9,0.0826
D4,main_group_only,108,28,0.2593
mPW1K,main_group_only,108,0,0.0000
"B3LYP, M06",5d_TM,107,0,0.0000
BPW91,4d_TM,107,13,0.1215
B3P86,no_xyz_data,107,14,0.1308
uB3LYP-D3,no_xyz_data,107,81,0.7570
PBE-D3,3d_TM,106,0,0.0000
"B3LYP, M11-L",main_group_only,106,81,0.7642
DLPNO-CCSD(T),3d_TM,105,0,0.0000
"M06-2X, TPSSTPSS",3d_TM,103,7,0.0680
PBEh1PBE,no_xyz_data,103,0,0.0000
UBHandHLYP,main_group_only,102,0,0.0000
B3LYP+GD3BJ,main_group_only,101,7,0.0693
PBE0-D3BJ,4d_TM,101,53,0.5248
B3LYP-D,main_group_only,100,7,0.0700
ωB97X-D3,main_group_only,100,26,0.2600
LYP,5d_TM,99,0,0.0000
PWPB95,main_group_only,99,4,0.0404
BHandHLYP,main_group_only,98,6,0.0612
ωB97X-2-D3(BJ),main_group_only,98,92,0.9388
TPSS-D3(BJ),main_group_only,97,63,0.6495
B3LYP-D4,main_group_only,97,0,0.0000
M11,no_xyz_data,97,0,0.0000
PBE0-D3(BJ),no_xyz_data,97,11,0.1134
B97-1,main_group_only,97,24,0.2474
"ωB97X-D, B3LYP, M06L",main_group_only,96,0,0.0000
BMK-D3BJ,main_group_only,95,0,0.0000
PW6B95-D3(BJ),main_group_only,95,8,0.0842
PWPB95-D3(BJ),main_group_only,95,2,0.0211
DF-CCSD(T),main_group_only,95,0,0.0000
"PBE-D3, PBE0-D3, M06-2X",no_xyz_data,94,0,0.0000
PW91,no_xyz_data,94,86,0.9149
B3LYP-D,no_xyz_data,93,68,0.7312
mPWB1K,main_group_only,93,0,0.0000
M08-HX,main_group_only,92,0,0.0000
BLYP-D3,main_group_only,92,27,0.2935
"TPSS-D3, PW6B95-D3",main_group_only,91,0,0.0000
BP86-D,4d_TM,90,83,0.9222
M06-L-D3,main_group_only,90,14,0.1556
"B3LYP-D3, M06-D3",main_group_only,89,5,0.0562
RI-B97-D,main_group_only,89,0,0.0000
r2-SCAN-3c,main_group_only,89,0,0.0000
MN12SX,4d_TM,88,84,0.9545
mPW1K,no_xyz_data,88,81,0.9205
B3LYP-D,3d_TM,87,29,0.3333
mPW1K,4d_TM,87,48,0.5517
BLYP-D3,3d_TM,87,0,0.0000
RM06L,main_group_only,87,0,0.0000
DSD-BLYP D3(BJ),main_group_only,87,0,0.0000
CAM-B3LYP,4d_TM,87,5,0.0575
pw6b95d3,main_group_only,87,0,0.0000
UM06-2X,no_xyz_data,86,0,0.0000
"BP86, B3LYP, B3LYP-D3",main_group_only,85,5,0.0588
PWBP95,main_group_only,85,7,0.0824
M06-HF,main_group_only,85,0,0.0000
M05-2X,5d_TM,84,72,0.8571
(U)M06-2X,main_group_only,83,0,0.0000
PW6B95,4d_TM,83,20,0.2410
HSEH1PBE,main_group_only,83,0,0.0000
DLPNO-CCSD(T),4d_TM,82,27,0.3293
"B3LYP, X3LYP, M06, M06-2X, M06-L, t-HTCH, wB97X, wB97X-D, MPWKCIS1K, MPWB1K",main_group_only,82,23,0.2805
BP86-D3BJ,no_xyz_data,81,0,0.0000
B97-D2,4d_TM,81,0,0.0000
ωB97M-V-D3(BJ),4d_TM,81,13,0.1605
D4,3d_TM,81,77,0.9506
ꞷB97XD,main_group_only,80,43,0.5375
M06S2,main_group_only,80,43,0.5375
"M06-2X, PBE-D3",main_group_only,79,1,0.0127
"B3LYP-D3BJ, M06",4d_TM,79,14,0.1772
"BP86, B3LYP, BLYP",main_group_only,79,0,0.0000
B3LYP-D2,5d_TM,79,0,0.0000
wB97XD-ultrafine,main_group_only,78,78,1.0000
M06-ultrafine,main_group_only,78,78,1.0000
BB1K,5d_TM,77,72,0.9351
DSD-BLYP-D3,4d_TM,77,13,0.1688
"BP86, M06",3d_TM,77,0,0.0000
"B3LYP-D3, M06-L-D3, PBE0-D3, ωB97X-D",no_xyz_data,77,0,0.0000
M06,lanthanides,76,6,0.0789
PWPB95-D3,main_group_only,76,0,0.0000
M05-2X,3d_TM,75,40,0.5333
ωB97X-V,4d_TM,75,13,0.1733
UM06,no_xyz_data,75,0,0.0000
"BP86, ωB97xD",4d_TM,75,0,0.0000
ωB97M-V,3d_TM,75,19,0.2533
DF-PBED3BJ,3d_TM,74,0,0.0000
BLYP,5d_TM,74,31,0.4189
wB97XD4,main_group_only,74,17,0.2297
CBS-APNO,main_group_only,73,0,0.0000
CBS-QB3,main_group_only,73,0,0.0000
UCCSD(T),main_group_only,73,0,0.0000
M06-2X-D3,5d_TM,73,8,0.1096
"M061, B3LYP",5d_TM,72,46,0.6389
"B3LYP, B3LYP+D3",main_group_only,71,29,0.4085
PWPB95-D4,no_xyz_data,71,0,0.0000
PBE0-GD3+BJ,main_group_only,71,65,0.9155
TPSS-GD3+BJ,main_group_only,71,65,0.9155
RI-BP86,main_group_only,71,18,0.2535
B3LYP,lanthanides,70,0,0.0000
BHLYP,no_xyz_data,70,0,0.0000
B3LYP[10],3d_TM,69,58,0.8406
B3LYP[0],3d_TM,69,58,0.8406
B3LYP[15],3d_TM,69,58,0.8406
B3LYP[5],3d_TM,69,58,0.8406
B2PLYP-D3,main_group_only,69,6,0.0870
"B3LYP, M06",3d_TM,69,8,0.1159
BP86+D3(BJ),4d_TM,68,62,0.9118
M06L+D3,4d_TM,68,62,0.9118
PBE0+D3(BJ),4d_TM,68,62,0.9118
B3LYP+D3(BJ),4d_TM,68,62,0.9118
"TPSS, M06-2X",3d_TM,67,52,0.7761
"B3LYP, UB3LYP",3d_TM,67,0,0.0000
"B3LYP, M06",main_group_only,67,24,0.3582
DSD-PBEP86,5d_TM,67,16,0.2388
Grimme’s dispersion correction (GD3-BJ),no_xyz_data,67,2,0.0299
Grimme’s D3,main_group_only,67,8,0.1194
"BP86, PBE",3d_TM,66,0,0.0000
mPW1K,5d_TM,66,21,0.3182
UM062X,main_group_only,66,0,0.0000
BP,3d_TM,66,0,0.0000
mPW2PLYPD,no_xyz_data,65,61,0.9385
ωB97X,no_xyz_data,65,0,0.0000
D3(BJ),3d_TM,65,63,0.9692
RPBE,main_group_only,65,3,0.0462
MN15-L,main_group_only,65,17,0.2615
GD3BJ,main_group_only,65,0,0.0000
RIJCOSX,4d_TM,65,0,0.0000
B2PLYP-D3(BJ),4d_TM,65,11,0.1692
"BP86, B3LYP, M06-2X",no_xyz_data,64,0,0.0000
TPSS0,no_xyz_data,64,18,0.2812
TPSSTPSS,3d_TM,64,64,1.0000
M11-L,5d_TM,64,0,0.0000
TPSS-D3(BJ),5d_TM,64,0,0.0000
"PBE0, wB97XD, B3LYP-D3, TPSSh",main_group_only,63,0,0.0000
UB3LYP-D3,main_group_only,63,48,0.7619
MN12L,main_group_only,63,0,0.0000
"PBE, PBE0, TPSS, TPSSh, M06",5d_TM,63,0,0.0000
MN12-SX,main_group_only,63,0,0.0000
MN12-L,main_group_only,63,0,0.0000
N12-SX,main_group_only,63,0,0.0000
ωB97X-D3,3d_TM,63,11,0.1746
APFD,main_group_only,62,4,0.0645
PBE-D3(BJ),no_xyz_data,62,0,0.0000
"ωB97XD, PBE-GD3BJ, B3LYP-GD3BJ",3d_TM,62,19,0.3065
B3LYP-GDB3J,3d_TM,61,0,0.0000
MN12SX,main_group_only,61,0,0.0000
CCSD(T),3d_TM,61,0,0.0000
revTPSS,main_group_only,61,0,0.0000
M11,5d_TM,61,17,0.2787
"BP86, M06-L",4d_TM,61,14,0.2295
PBE0-D3,3d_TM,60,0,0.0000
BP86; M06; PBE0; B3PW91,4d_TM,60,0,0.0000
B3PW91-D3(BJ),no_xyz_data,60,0,0.0000
B3PW91*,3d_TM,60,38,0.6333
BMK-D3(BJ),main_group_only,60,56,0.9333
ωB97X-D3BJ,main_group_only,59,46,0.7797
M11-L,no_xyz_data,58,25,0.4310
UBLYP,no_xyz_data,58,11,0.1897
"B3LYP, BP86",4d_TM,57,21,0.3684
D3,3d_TM,56,6,0.1071
Grimme's D3,main_group_only,56,26,0.4643
BPBE-D3BJ,no_xyz_data,55,0,0.0000
PBE-D4,no_xyz_data,55,0,0.0000
"B3LYP, M06L",3d_TM,55,0,0.0000
