doi,n_leaves_parsed,n_xyz_total,elements
10.1002/adsc.201300392,1,15,C H O P
10.1002/adsc.201300486,1,15,C Co H P
10.1002/adsc.201300720,1,11,C H O
10.1002/adsc.201300727,1,8,C Cl H N O P Ru
10.1002/adsc.201300746,1,11,C H
10.1002/adsc.201300984,1,23,C H O Rh
10.1002/adsc.201301127,1,13,C H I O
10.1002/adsc.201400164,1,10,C H N
10.1002/adsc.201400408,1,20,C H N O P Pd
10.1002/adsc.201400563,1,14,C H N O
10.1002/adsc.201400614,1,5,B
10.1002/adsc.201400639,1,1,Ag C H N O P
10.1002/adsc.201400730,1,28,C H O
10.1002/adsc.201400977,1,5,C F H N O Si
10.1002/adsc.201500056,1,32,C H N O
10.1002/adsc.201500519,1,12,C H
10.1002/adsc.201500650,1,15,Se
10.1002/adsc.201500729,1,8,C H N
10.1002/adsc.201500854,1,14,C H I N O Pd S
10.1002/adsc.201500865,1,6,Br C H Pd
10.1002/adsc.201500930,1,6,C Fe H N P
10.1002/adsc.201500952,1,2,C H I N O Pd
10.1002/adsc.201500967,1,14,C H O
10.1002/adsc.201501039,1,14,C H N O S
10.1002/adsc.201600010,1,111,C H O
10.1002/adsc.201600015,1,18,C H O
10.1002/adsc.201600046,1,12,C H N O
10.1002/adsc.201600218,1,12,Au C H O P
10.1002/adsc.201600266,1,81,C N
10.1002/adsc.201600272,1,4,C Cu H N O
10.1002/adsc.201600308,1,30,Br C F Na O
10.1002/adsc.201600458,1,12,C Cu H N O Zn
10.1002/adsc.201600498,1,4,C F H N O
10.1002/adsc.201600621,1,13,C Fe H O S
10.1002/adsc.201600860,1,33,C H O S
10.1002/adsc.201600889,1,3,C H N O P Pd
10.1002/adsc.201600992,1,5,He
10.1002/adsc.201601048,1,6,C H N O Pd S
10.1002/adsc.201601075,1,14,Au C H N P
10.1002/adsc.201601136,1,24,C H N O
10.1002/adsc.201700085,1,2,C H N O
10.1002/adsc.201700247,1,9,C H N O
10.1002/adsc.201700360,1,3,B Be C H He Li
10.1002/adsc.201700485,1,2,C H N O S
10.1002/adsc.201700539,1,4,C F H N O
10.1002/adsc.201700572,1,25,C H
10.1002/adsc.201700598,1,48,Au C Cl H O P
10.1002/adsc.201700628,1,56,B C H N O P Rh
10.1002/adsc.201700672,1,136,C H
10.1002/adsc.201700722,1,22,C H N
10.1002/adsc.201700786,1,3,C H N O
10.1002/adsc.201700787,1,12,C H N O
10.1002/adsc.201700840,1,20,C H N O P Pd
10.1002/adsc.201700965,1,36,C H N O
10.1002/adsc.201700975,1,80,C F H N O
10.1002/adsc.201701015,1,6,C N
10.1002/adsc.201701074,1,2,C H N O
10.1002/adsc.201701084,1,77,C H O
10.1002/adsc.201701191,1,79,C H O
10.1002/adsc.201701487,1,27,C H N
10.1002/adsc.201701497,1,24,Cl Cu
10.1002/adsc.201800036,1,128,Ag C H O
10.1002/adsc.201800119,1,20,B C H O
10.1002/adsc.201800133,1,26,C H O
10.1002/adsc.201800228,1,23,C H N O
10.1002/adsc.201800296,1,2,Br C Fe H N O
10.1002/adsc.201800433,1,53,Be H He Li
10.1002/adsc.201800507,1,32,C H N O P Pd Si
10.1002/adsc.201800531,1,25,C H N
10.1002/adsc.201800575,1,2,C H O Rh
10.1002/adsc.201800585,1,8,C H N O P
10.1002/adsc.201800601,1,30,C H N O
10.1002/adsc.201800603,1,15,C Cl H P Pd
10.1002/adsc.201800733,1,14,C H N O
10.1002/adsc.201800749,1,20,C H N O
10.1002/adsc.201800994,1,4,C H N O S
10.1002/adsc.201801080,1,4,B C H O P
10.1002/adsc.201801116,1,3,Al C Cl H N O Se
10.1002/adsc.201801225,1,29,C H N
10.1002/adsc.201801243,1,9,C H
10.1002/adsc.201801338,1,5,B C F H N
10.1002/adsc.201801413,1,44,C H N O
10.1002/adsc.201801424,1,7,C H O
10.1002/adsc.201801498,1,11,C F H N O
10.1002/adsc.201801506,1,2,C H N O
10.1002/adsc.201801511,1,78,H
10.1002/adsc.201801526,1,6,C H O
10.1002/adsc.201900257,1,4,C H N O S
10.1002/adsc.201900349,1,4,C H Li N O
10.1002/adsc.201900372,1,19,C H Ir N O P
10.1002/adsc.201900543,1,23,C N O
