functional,n_reactions,n_converged,convergence_rate
DF-CCSD(T),95,0,0.0000
r2SCAN-3c,94,11,0.1170
Grimme D3,94,2,0.0213
"PBE-D3, PBE0-D3, M06-2X",94,0,0.0000
M08-HX,92,0,0.0000
"TPSS-D3, PW6B95-D3",91,0,0.0000
"B3LYP-D3, M06-D3",89,5,0.0562
r2-SCAN-3c,89,0,0.0000
PBE-D4,88,30,0.3409
RM06L,87,0,0.0000
DSD-BLYP D3(BJ),87,0,0.0000
pw6b95d3,87,0,0.0000
"BP86, B3LYP, B3LYP-D3",85,5,0.0588
BLYP-D,85,5,0.0588
Grimme's D3,85,32,0.3765
PWBP95,85,7,0.0824
B3PW91-D,83,17,0.2048
HSEH1PBE,83,0,0.0000
BMK-D3(BJ),82,56,0.6829
"B3LYP, X3LYP, M06, M06-2X, M06-L, t-HTCH, wB97X, wB97X-D, MPWKCIS1K, MPWB1K",82,23,0.2805
UB3LYP-D3,82,52,0.6341
UPBE0,81,14,0.1728
B97-D2,81,0,0.0000
ωB97M-V-D3(BJ),81,13,0.1605
ꞷB97XD,80,43,0.5375
M06S2,80,43,0.5375
"B3LYP, ωB97X-D",79,20,0.2532
"M06-2X, PBE-D3",79,1,0.0127
TPSS0,79,18,0.2278
"B3LYP-D3BJ, M06",79,14,0.1772
"BP86, B3LYP, BLYP",79,0,0.0000
wB97XD-ultrafine,78,78,1.0000
M06-ultrafine,78,78,1.0000
PWPB95-D3,78,0,0.0000
DSD-BLYP-D3,77,13,0.1688
"B3LYP-D3, M06-L-D3, PBE0-D3, ωB97X-D",77,0,0.0000
not specified,76,64,0.8421
"BP86, ωB97xD",75,0,0.0000
DF-PBED3BJ,74,0,0.0000
CBS-QB3,74,0,0.0000
wB97XD4,74,17,0.2297
CBS-APNO,73,0,0.0000
UCCSD(T),73,0,0.0000
MO6,73,6,0.0822
ωB97,73,9,0.1233
BP86+D3(BJ),72,62,0.8611
"M061, B3LYP",72,46,0.6389
BHLYP,72,0,0.0000
LC-ωPBE,72,1,0.0139
"BP86, PBE",71,0,0.0000
"B3LYP, B3LYP+D3",71,29,0.4085
PBE0-GD3+BJ,71,65,0.9155
TPSS-GD3+BJ,71,65,0.9155
RI-BP86,71,18,0.2535
APFD,70,4,0.0571
MPW1B95,70,22,0.3143
UM062X,70,0,0.0000
"B3LYP, UB3LYP",69,0,0.0000
B3LYP[10],69,58,0.8406
B3LYP[0],69,58,0.8406
B3LYP[15],69,58,0.8406
B3LYP[5],69,58,0.8406
M06L+D3,68,62,0.9118
PBE0+D3(BJ),68,62,0.9118
"M06, RM06",68,31,0.4559
"TPSS, M06-2X",67,52,0.7761
BPW91*,67,35,0.5224
Grimme’s dispersion correction (GD3-BJ),67,2,0.0299
mPW2PLYPD,65,61,0.9385
DSD-PBE96-NL,65,27,0.4154
RIJCOSX,65,0,0.0000
"BP86, B3LYP, M06-2X",64,0,0.0000
"B3LYP, M06L",64,7,0.1094
M06-SMD,64,2,0.0312
"PBE0, wB97XD, B3LYP-D3, TPSSh",63,0,0.0000
"PBE, PBE0, TPSS, TPSSh, M06",63,0,0.0000
MN12-SX,63,0,0.0000
N12-SX,63,0,0.0000
"ωB97XD, PBE-GD3BJ, B3LYP-GD3BJ",62,19,0.3065
revTPSS,62,0,0.0000
B3LYP-GDB3J,61,0,0.0000
CAM-B3LYP-D3,61,6,0.0984
N12,61,0,0.0000
BLYP-D2,61,0,0.0000
"BP86, M06-L",61,14,0.2295
BP86; M06; PBE0; B3PW91,60,0,0.0000
B3PW91*,60,38,0.6333
"M06, B3LYP",60,24,0.4000
UBLYP,60,11,0.1833
ωB97X-D3BJ,59,46,0.7797
"B3LYP-D3(BJ), M06",58,22,0.3793
B3LYP-GD3(BJ),57,15,0.2632
M052X-D3,56,0,0.0000
BPBE-D3BJ,55,0,0.0000
"r2SCAN-D3, ωB97X-D3",54,10,0.1852
"B3LYP, BMK, TPSS",54,50,0.9259
M06S,53,0,0.0000
"M06-2X, ωB97XD",53,32,0.6038
B3LYP5-NL,52,27,0.5192
B3,52,12,0.2308
"M06-2X, B3LYP-D3, B3PW91-D3, B97D-D3, BLYP-D3, BP86-D3, PBE-D3, PBE0-D3, TPSS-D3, ωB97XD, X3LYP",51,15,0.2941
D-BP86,50,38,0.7600
tHCTHhyb,50,0,0.0000
N12SX,50,0,0.0000
HISSbPBE,50,0,0.0000
SAPT2+(3)dMP2,50,0,0.0000
B2PLYP-D,49,39,0.7959
"B3LYP-D3, B3LYP-D3BJ",49,35,0.7143
M06-2X(D3),49,0,0.0000
"B3LYP, M06-2X",49,0,0.0000
UM06-D3,48,2,0.0417
DSDPBEP86-D3BJ,48,0,0.0000
B3LYP-D3*,48,0,0.0000
Grimme's dispersion corrections with Becke-Johnson damping,48,0,0.0000
B3LYP-D3(0),47,0,0.0000
w97XD,47,0,0.0000
PBE0-D,46,5,0.1087
B97,46,0,0.0000
B(C6F5)3,46,0,0.0000
LC-BP86,46,0,0.0000
B3LYP-dDsC,46,1,0.0217
B97-D3(BJ),45,9,0.2000
B97XD,45,19,0.4222
BP86(D3BJ),45,0,0.0000
PBE-D,45,5,0.1111
mPBE,45,0,0.0000
B1LYP,45,0,0.0000
MP4,45,0,0.0000
"B3LYP-D3(BJ), ωB97X-D",44,10,0.2273
ωB97M-V-D3BJ,44,0,0.0000
RI-MP2,43,0,0.0000
UωB97X-D,43,0,0.0000
"PBE0, PW6B95",43,0,0.0000
BP86+D3,43,30,0.6977
M06-2X-GD3,43,0,0.0000
B3PW91-D3BJ,43,27,0.6279
"B3LYP, M06-D3",42,11,0.2619
D3(ABC),42,0,0.0000
GD3(BJ),42,22,0.5238
D3-correction,42,21,0.5000
(U)PBE0,42,23,0.5476
UBP86+D3BJ,42,0,0.0000
PW6B95D3,41,0,0.0000
"PBE0, B3LYP, B3PW91, M06L, B97D3, M062X, wB97XD",41,35,0.8537
M0611,41,11,0.2683
RI-PBE-D3BJ,41,0,0.0000
(U)B3LYP,41,0,0.0000
"PBE0, D3BJ",41,0,0.0000
"M06, B3-LYP",41,33,0.8049
uM06,40,24,0.6000
PW6B95-D4,40,0,0.0000
uPBE0,40,0,0.0000
"B3LYP-D3, M06L, M11-L",40,0,0.0000
"BHandH, M06",40,0,0.0000
RI-PWPB95-D3(BJ),40,0,0.0000
TPSSH-D3BJ,39,0,0.0000
"TPSS-D3, BJ-damped DFT-D3, PW6B95-D3",39,0,0.0000
RI-BLYP-D3,39,0,0.0000
DLPNO-PWPB95,38,0,0.0000
ωB97X-2,38,0,0.0000
uB3LYP-D3(BJ),38,0,0.0000
uM062X-D3,38,0,0.0000
RM06-2X,37,0,0.0000
M064,37,9,0.2432
B3LYP-B3(BJ),37,10,0.2703
ɷB97X-D,37,0,0.0000
"MP2, MP3, MP4(DQ)",36,0,0.0000
PBE0-dDsC,36,10,0.2778
M06L-GD3,36,0,0.0000
"M06-2X, mPW1PW91",36,2,0.0556
PBE0+GD3,35,0,0.0000
wB97XD-D2,35,8,0.2286
"B3LYP, mPW1PW91",34,1,0.0294
ωB97XD; PBE,34,3,0.0882
"B3LYP, ωB97X-D, M06-2X, PBE",34,30,0.8824
WB97,34,0,0.0000
PBE1PBE-D3BJ,34,17,0.5000
MO62x,34,16,0.4706
M06-UF,33,0,0.0000
"ωB97XD, M06",33,0,0.0000
Grimme's dispersion correction,33,0,0.0000
"B3LYP, D3",33,0,0.0000
SOGGA11,33,0,0.0000
MPW1P86,33,0,0.0000
SOGGA11-X,33,0,0.0000
KMLY,33,0,0.0000
PBE06,32,0,0.0000
uBLYP,32,2,0.0625
uBP86,32,2,0.0625
B97-D(toluene),32,5,0.1562
PBEPBE-D3,32,20,0.6250
HCTH407,32,11,0.3438
"wB97xD, M06",32,0,0.0000
(U)M06-L,31,0,0.0000
B3LYP; DFT-D3,31,25,0.8065
Becke,31,11,0.3548
Perdew,31,11,0.3548
"B3LYP, TPSS, M06",31,0,0.0000
D2,31,1,0.0323
PBE1PBE-D3(BJ),31,0,0.0000
HCTH,31,1,0.0323
CASSCF,31,0,0.0000
"B3LYP, M06-2X, B97D",30,0,0.0000
R2SCAN-3c,30,12,0.4000
τ-HCTH hyb.,30,0,0.0000
SOGGA11X,30,0,0.0000
LC-ωHPBE,30,0,0.0000
"M06, M06-2X",30,29,0.9667
"B3LYP, BPW91",30,25,0.8333
"M06, M06-D3",30,0,0.0000
M06-D3(0),30,0,0.0000
B97D4,30,0,0.0000
PWP91,30,9,0.3000
SCS-RI-MP2,29,0,0.0000
"B3LYP, MN12-L",29,0,0.0000
ωB97M-D4,29,0,0.0000
DF-PBE,29,0,0.0000
D3-B3LYP,29,0,0.0000
M06ii,28,24,0.8571
ZORA-BP86-D3(BJ),28,0,0.0000
B3LYP-D3',28,0,0.0000
PBE1PBE-D3,28,20,0.7143
B3LYP-D3(bj),28,5,0.1786
ROMP2,28,0,0.0000
B-PW91,28,0,0.0000
⍵B97XD,28,0,0.0000
M0625,28,28,1.0000
B3LYP+D,28,0,0.0000
"B3-LYP, M06",28,0,0.0000
"BP86, B3LYP, PBEPBE, B3PW91, B97D, M06, M06-L",28,0,0.0000
B3LYP-D3(BJ); M06,27,12,0.4444
PWPB95-D3-(BJ),27,0,0.0000
MPWB95,27,0,0.0000
UOPBE,27,0,0.0000
DSD-PBEB95-D3BJ,27,22,0.8148
B3PW91-GD3BJ,27,0,0.0000
B2GP-PLYP-D,27,0,0.0000
ωB97X-D2,26,0,0.0000
uM06L-d3,26,0,0.0000
M0620,26,0,0.0000
"PBE0, ωB97xD",26,0,0.0000
HF-PBE,26,0,0.0000
mPW91PW91,25,0,0.0000
(U)PBE0-D3(BJ),25,23,0.9200
ωB97X-D1,25,0,0.0000
revDSD-PBEP86-D3,25,21,0.8400
UB3LYP-GD3BJ,24,0,0.0000
scLH22t,24,0,0.0000
TPSS0-D4,24,0,0.0000
PBE1PBE-GD3,24,7,0.2917
wB97X-D10,24,7,0.2917
B3LYP-D(BJ),24,7,0.2917
r²SCAN,24,5,0.2083
XYGJ-OS,24,2,0.0833
"BP86, B97D, M06",24,0,0.0000
BHandH,23,3,0.1304
DFT-D3(BJ),23,2,0.0870
ZORA-OLYP,23,0,0.0000
"PBE0, M06",23,2,0.0870
TD-B3LYP,23,0,0.0000
UMPW1K,23,5,0.2174
UM06-L,23,5,0.2174
revPBE,23,0,0.0000
B3PW91-d3,23,9,0.3913
B97M-V,22,0,0.0000
ZORA-BLYP-D3(BJ),22,0,0.0000
revDSD-PBEP86-D3(BJ),22,0,0.0000
M06X,22,0,0.0000
revPBE0,22,0,0.0000
(U)B3LYP-D3(BJ),21,0,0.0000
CAM-B3LYP+GD3BJ,21,0,0.0000
PBE0+GD3BJ,21,0,0.0000
PBE+GD3BJ,21,0,0.0000
B3LYP+GD3,21,0,0.0000
DFT-D3BJ,21,0,0.0000
BPBE,21,0,0.0000
B1B95,21,0,0.0000
τ-HCTHh,21,0,0.0000
Grimme’s DFT-D3,21,17,0.8095
M06L(D3),21,0,0.0000
"B3LYP, M06, PW6B95",21,0,0.0000
UM11-L,21,20,0.9524
UB3LYP+D3BJ,21,20,0.9524
BP86+D3BJ,21,20,0.9524
ROBP3LYP,21,0,0.0000
TPSS; PW6B95-D4,21,0,0.0000
"B3LYP, B1LYP, B3PW91, BP86, CCSD(T)",20,19,0.9500
ωB97M-D3BJ,20,0,0.0000
PWPB95-D3BJ,20,0,0.0000
b97-2,20,16,0.8000
UωB97XD,20,0,0.0000
Grimme's D3(BJ),20,0,0.0000
UMN15,20,0,0.0000
BOP (Becke-Tsuneda-Hirao),20,5,0.2500
RωB97X-D,20,0,0.0000
"B3LYP, B3LYP-D3, WB97xd",19,0,0.0000
BMK-D3,19,0,0.0000
B3P,19,14,0.7368
Truhlar's M06,19,12,0.6316
"PBEh-3c, PW6B95-D3",19,10,0.5263
"TPSS, PW6B95",19,0,0.0000
B3YLP,19,0,0.0000
"M06, b-p",18,18,1.0000
CAM-B3LYP-D3BJ,18,8,0.4444
B3LYP*-D3,18,0,0.0000
PBE1PBE (PBE0),18,0,0.0000
M061,18,17,0.9444
U-PBE0,18,0,0.0000
PBE04,18,0,0.0000
"TPSS, B3LYP-D3BJ",18,0,0.0000
UM062X(D3),18,0,0.0000
M062X(D3),18,0,0.0000
PW91PW91,18,0,0.0000
B3LYP; M06-2X,18,8,0.4444
PBE05,18,13,0.7222
"BP86, B97D, BLYP, B3LYP, PBE, PBE0, B97D3, ωB97x-D, M06, TPSS",18,0,0.0000
BVP86,18,0,0.0000
STEOM-DLPNO-CCSD,18,7,0.3889
BPV86,18,18,1.0000
"B3LYP-D3(BJ), M06, M06-L, PBE0-D3(BJ), TPSSh-D3(BJ), ωB97XD",18,0,0.0000
"PBE, D3BJ",18,0,0.0000
revDSD-PBEP86-D4,18,5,0.2778
"PBE, PBE-D3",18,3,0.1667
"M06, B3LYP-D3BJ, M11-L, M06-2X",17,0,0.0000
wB97XDS2,17,0,0.0000
B3LYP* (15% exact exchange),17,0,0.0000
G3MP2,17,6,0.3529
G4MP2,17,6,0.3529
"M06L, ωB97x, B3PW91",17,0,0.0000
rM06L,17,15,0.8824
"B3LYP, PBE0",17,1,0.0588
"BP86, B3LYP",17,6,0.3529
LC-BLYP*,17,0,0.0000
"B3-LYP, BP86",17,17,1.0000
B88P86,17,0,0.0000
UM06-2x,17,0,0.0000
"B3LYP, SMD-M06",17,4,0.2353
M06-L-D3BJ,16,8,0.5000
"B3LYP, ωB97XD",16,0,0.0000
GTH-BLYP-q6,16,0,0.0000
wB97,16,0,0.0000
"B3LYP, CAM-B3LYP",16,0,0.0000
Perdew 86,16,0,0.0000
Becke 88,16,0,0.0000
"PBE, B3-LYP",15,0,0.0000
DLPNO CCSD(T),15,0,0.0000
PBE0-D4,15,0,0.0000
rωb97xd,15,0,0.0000
Vosko-Wilk-Nusair,15,11,0.7333
UM06-2X-D3,15,0,0.0000
ω-B97XD6,15,13,0.8667
DFT-D,15,0,0.0000
"B3LYP, HF-LYP",15,0,0.0000
Grimme's version 3,15,0,0.0000
B3P86-D2,15,10,0.6667
TPSS; wB97X-D,15,0,0.0000
"BP86, B3LYP, M06",15,0,0.0000
ωB97X-D5,15,0,0.0000
rev-DSD-PBEP86-D3(BJ),14,0,0.0000
B3P86-D3,14,0,0.0000
"PBE, BP86, B3LYP, PBE0, M06, M06L",14,0,0.0000
um062x,14,0,0.0000
DSD-PBEP86-D3,14,0,0.0000
"B3LYP, BLYP, BP86",14,0,0.0000
B97M-D3(BJ),14,0,0.0000
RI-DSD-PBEP86/2013-D3(BJ),13,0,0.0000
PNO-LCCSD(T),13,0,0.0000
rm062x,13,0,0.0000
"PBE0, m062x",13,13,1.0000
"B3-LYP, M06-2x",12,0,0.0000
RI-B2PLYP,12,0,0.0000
B3LYP*-D2,12,0,0.0000
"B3LYP-D3, TPSS-D3, M06, M06-L, CAM-B3LYP",12,0,0.0000
B2G-PPLYP,12,0,0.0000
B2T-PLYP,12,0,0.0000
B2K-PLYP,12,0,0.0000
RPA,12,0,0.0000
"M06L, TPSSH, OPBE",12,0,0.0000
TPSSTPSS-D3BJ,12,0,0.0000
Becke 88 exchange with the Perdew 86 correlation,12,0,0.0000
PBE2,12,10,0.8333
UωB97x-D,12,0,0.0000
M06L5,12,4,0.3333
"PBE, CAM-B3LYP-D3",11,0,0.0000
τ-HCTHhyb,11,0,0.0000
D3(0),11,7,0.6364
uwb97xd,11,0,0.0000
"B3LYP, M06, B97D, SCS-MP2",11,0,0.0000
PBE1W-D3,11,0,0.0000
"B3LYP, wb97xd",11,0,0.0000
D3(BJ)-B3LYP,11,0,0.0000
"mPW1K, M06-L, BP86",11,0,0.0000
M06-LS,11,0,0.0000
wB97X-D3BJ,11,0,0.0000
TPSSHS,11,0,0.0000
TPPSS,11,0,0.0000
MP4(SDQ),11,7,0.6364
"PBE0, PWPB95",11,0,0.0000
BHLYP-D3,11,0,0.0000
"B3LYP, B3LYP-D3BJ",11,7,0.6364
B2PLYPD,11,0,0.0000
UB2PLYPD,11,0,0.0000
BLYP*,11,0,0.0000
"M06, PBE0, PBE0-D3, wb97XD",10,0,0.0000
"ωb97xd, M062X",10,6,0.6000
"ωB97xd, B3LYP, TPSSh, M06-2X",10,0,0.0000
"PBE0, PBE1PBE",10,0,0.0000
"UM05, UM06-2X",10,0,0.0000
𝜔B97M-V,10,0,0.0000
B3LYP-D3a,10,3,0.3000
D3-BJ,10,0,0.0000
BHHLYP,10,0,0.0000
B2PLYP-D3BJ,10,6,0.6000
"B3LYP, B3LYP-D3, M06-2X",10,0,0.0000
UTPSSH,10,9,0.9000
RTPSSH,10,9,0.9000
"ωB97xD, M06-2X",9,0,0.0000
"TPSS-D3(BJ), M06-2X(D3)",9,0,0.0000
"M06, D3",9,0,0.0000
B3PW91*-D3,9,1,0.1111
Becke's exchange functional,9,0,0.0000
Perdew's correlation functional,9,0,0.0000
"PBE-D3, M06L, M06, PBE0-D3, B3LYP",9,0,0.0000
rev-DSD-PBEP86-D4,9,8,0.8889
B3LYP(D3),9,0,0.0000
BJ-damped DFT-D3,9,0,0.0000
PBE100,9,0,0.0000
CAM-B3LYP+GD3,9,0,0.0000
dDsC,9,0,0.0000
Grimme's D3(0),9,0,0.0000
(U)ωB97X-D,9,0,0.0000
n.a.,9,0,0.0000
uDSD-PBEP86,9,0,0.0000
PM6,8,0,0.0000
"M06, B3LYP-D3",8,0,0.0000
mPW2PLYP,8,0,0.0000
M06(D3),8,0,0.0000
M06L-D3zero,8,8,1.0000
optB86b-vdW,8,0,0.0000
ωB97X-D10,8,8,1.0000
"B3LYP-D3, ωB97X-D, B3P86, M06-L, BP86, BP86G, PBE1PBE",8,0,0.0000
PBEB95,8,0,0.0000
M06-LD3,8,0,0.0000
∆EM06,8,0,0.0000
"B3-LYP, M11-L",8,0,0.0000
"b3-lyp, M06-2X",8,0,0.0000
B3LYP; M06,8,0,0.0000
LDA,8,0,0.0000
DSD-BLYP,8,5,0.6250
B97-D3(bj),8,0,0.0000
B3PW91**,8,0,0.0000
(u)ωB97XD,8,0,0.0000
BP86; B3LYP,8,0,0.0000
"B3LYP, TPSS",8,0,0.0000
(U)M06,8,7,0.8750
PBE-D4(EEQ),8,0,0.0000
B98,7,0,0.0000
"HSE06, B3LYP",7,0,0.0000
uM06-2X,7,0,0.0000
B3LYP-D3(SMD),7,0,0.0000
IEFPCM B3LYP,7,0,0.0000
VSXC,7,0,0.0000
TPSS1,7,7,1.0000
M06-3,7,0,0.0000
(U)BB86-D3,7,0,0.0000
CAS,7,0,0.0000
PWPB95(D3),7,0,0.0000
Becke and Perdew (BP),7,0,0.0000
UAPFD,7,0,0.0000
PBE0-GD3BJ,7,4,0.5714
M063,7,0,0.0000
"BLYP, M06-2X, DFT-D3(BJ)",7,0,0.0000
BH-LYP,7,4,0.5714
"Becke-Perdew (BP86), OPBE",7,0,0.0000
"B3LYP, MO6-2X",7,0,0.0000
"B3LYP, PBE0, ωB97X-D",7,0,0.0000
B3LYP**,7,3,0.4286
ωB97X-2(TQZ),7,0,0.0000
DSD-PBEB95,7,0,0.0000
PBEh-3c; revDSD-PBEP86,6,0,0.0000
Grimme’s dispersion correction D3,6,0,0.0000
EOM-CCSD,6,0,0.0000
CIS,6,0,0.0000
B3LYP; m06,6,0,0.0000
"CASSCF(2e,2o)",6,2,0.3333
UPBE,6,2,0.3333
MPW1-B95,6,0,0.0000
PW6-B95-D3,6,0,0.0000
PW6-B95,6,0,0.0000
B3-PW91-D3,6,0,0.0000
ZORA-B3LYP-D3,6,0,0.0000
PBE+D,6,0,0.0000
PBEh,6,0,0.0000
ωB97X-D4,6,0,0.0000
BP86-D4,6,4,0.6667
uB3LYP-d3,6,0,0.0000
PBEh-3C,6,0,0.0000
r2scan-3c,6,0,0.0000
"B3LYP-D3, M06-L",6,0,0.0000
B97M-D4,6,2,0.3333
DSD-BLYP-D3(BJ),6,2,0.3333
B3LYP(GD3BJ),6,3,0.5000
SCAN,6,0,0.0000
"TPSS-D3, B2PLYP-D3, PW6B95-D3",6,0,0.0000
"M06, OPBE, PBE0",5,0,0.0000
BPW91-30HF,5,0,0.0000
"B3LYP, B3LYP-D3, M11",5,0,0.0000
rCAM-B3LYP,5,0,0.0000
"PBE-D3, M06L",5,3,0.6000
LC-BLYP,5,0,0.0000
B3LYP(B1),5,0,0.0000
UwB97XD,5,0,0.0000
ZORA-BP86-D3,5,0,0.0000
"M06L, B3LYP",5,0,0.0000
B3LYP3-D3,5,0,0.0000
ωB97X-3D,5,0,0.0000
"M06, PBE0, PBE0-dDsC",5,0,0.0000
τHCTHh,5,0,0.0000
"B3LYP, GD3BJ",5,0,0.0000
uM06L-D3,5,0,0.0000
!ωB97XD,5,0,0.0000
PW6B95(-D3),5,0,0.0000
mPW2PLYP-D4,5,4,0.8000
"LDA VWN, GGA Becke Perdew",4,4,1.0000
"BLYP-D3BJ, CAMY-B3LYP",4,0,0.0000
"B3PW91, M062X, PBE0",4,0,0.0000
TD-PBE0-D3(BJ),4,0,0.0000
PBEsol,4,0,0.0000
TPSSh+DFT-D3,4,0,0.0000
GD3,4,0,0.0000
"B3LYP, TPSSh",4,0,0.0000
revPBE-D3,4,0,0.0000
(U)M062X,4,0,0.0000
GFN2-xTB,4,0,0.0000
ωB97X-3c3,4,0,0.0000
"M062X, M06L, M06",4,4,1.0000
"hybrid gradient-corrected exchange functional of Lee, Yang, and Parr",4,0,0.0000
w-B2PLYP,4,0,0.0000
"B97-3c, M06",4,0,0.0000
"B3LYP, PBE",4,0,0.0000
Becke exchange functional,4,0,0.0000
"B3LYP, TDB3LYP",4,0,0.0000
"PBE0, PBE50",4,0,0.0000
"B3LYP, B3PW91, PBE0, B3P86",4,0,0.0000
Grimme dispersion (GD-3),4,1,0.2500
